2022-07-14 23:59:03+00:00,1547732440566730752,,alfredo damtram 💙🐝,"b""RT @RobertCPalmer13: Exclusive: Health minister, Maria Caulfield, misled Parliament over ambulance crisis yesterday\n\nBoris Johnson's cultur\xe2\x80\xa6"""
2022-07-14 23:59:01+00:00,1547732429892624385,,Charmaine,b'RT @TobyGreenane: George Brandis thinking Boris Johnson was a brilliant man says all you need to know about both men.'
2022-07-14 23:59:00+00:00,1547732425349861376,Somewhere in NA,Anti Woke Not A Commie #pfizerpapers,"b""RT @HaveWeAllGoneM1: Draghi resigned as PM in Italy\nBoris resigned as PM in UK\nMacron's under pressure to resign in France\nRajapaksa PM in\xe2\x80\xa6"""
2022-07-14 23:58:57+00:00,1547732412829876225,"Fife, Scotland",shirley young,"b""RT @Nurseborisbash: I think Bideford man hasn't been paying attention. \n200,000 covid deaths is not getting covid done.\nAn agreement that B\xe2\x80\xa6"""
2022-07-14 23:58:55+00:00,1547732404135006217,,carolrussell,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:58:54+00:00,1547732400909590528,,Deb,"b'RT @PaulBrandITV: EXCL: No10 admit - in their words - to a \xe2\x80\x9cnasty, misogynist culture\xe2\x80\x9d in Downing St during Boris Johnson\xe2\x80\x99s premiership.\n\nE\xe2\x80\xa6'"
2022-07-14 23:58:53+00:00,1547732396933492746,lone star,starspangled,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:58:50+00:00,1547732382861516801,South Shields,Dave Miller #BringBackBoris #RishiLeaks,"b'RT @TomSyvret: It really does not matter how much they try to tread on Boris Johnson and denigrate him, he still comes back with a polite b\xe2\x80\xa6'"
2022-07-14 23:58:50+00:00,1547732382618292227,"Kirkcaldy, Scotland",Maureen Pickering,b'RT @Zero_4: Maybe it\xe2\x80\x99s not just the pay of teachers that\xe2\x80\x99s the problem Olivia; maybe it\xe2\x80\x99s hard-right Boris Johnson fanzines like the paper\xe2\x80\xa6'
2022-07-14 23:58:47+00:00,1547732372916883456,"working class,ex Londoner",Thank you Boris 🇬🇧🇮🇱,"b'@ArchRose90 The only two PMs I was really excited to lead us,was Thatcher and Boris. \nThat number is now three.\nWha\xe2\x80\xa6 https://t.co/XrGDcsbdJN'"
